horizon,trading_days,valid_count,avg_return,median_return,win_rate,loss_rate,std_return,best_return,worst_return
D+39,39,5069,0.05757107067202412,-0.016435541859270653,0.4651805089761294,0.5322548826198461,0.39428692222222456,3.920529801324503,-0.6640522875816993
D+40,40,5053,0.061386332279800476,-0.014729950900163713,0.46823669107460913,0.5280031664357807,0.4068089410271464,4.219631901840491,-0.7006535947712418
D+41,41,5038,0.06475485676546236,-0.01628064750244551,0.46883684001587933,0.5275903136165145,0.41889472871094485,4.212947189097104,-0.722875816993464
D+42,42,5026,0.06810819177851718,-0.014901648890731811,0.4729407083167529,0.5246717071229606,0.42827688519515567,3.9675324675324672,-0.7091906721536352
D+43,43,5008,0.07169901923174053,-0.014201680672268902,0.47464057507987223,0.5229632587859425,0.4360524501466093,3.850253807106599,-0.6647058823529413
D+44,44,4988,0.07387986916671968,-0.01156738385784628,0.4793504410585405,0.5182437850842021,0.4394518057024347,4.0495049504950495,-0.6568627450980392
D+45,45,4968,0.07593462131179203,-0.010815759596700891,0.47946859903381644,0.517512077294686,0.4469197091069357,4.248618784530387,-0.6399176954732511
D+46,46,4943,0.07842652386646956,-0.010563380281690127,0.48229819947400365,0.5156787376087396,0.45294320576139174,4.267034990791897,-0.6379084967320261
D+47,47,4912,0.08139911102150861,-0.009434172173642175,0.4855456026058632,0.5128257328990228,0.4539685635736621,4.285451197053407,-0.6392156862745098
D+48,48,4872,0.08480901151374028,-0.0062639415694160094,0.49137931034482757,0.506568144499179,0.4554077415997736,4.1749539594843466,-0.6466113416320884
D+49,49,4846,0.08813553956260159,-0.005777873141889878,0.4909203466776723,0.5074288072637226,0.46320007196573926,5.0497237569060776,-0.6411764705882352
D+50,50,4825,0.09088076642296766,-0.0017667844522968323,0.49637305699481865,0.5019689119170985,0.46963979985578597,4.994475138121547,-0.6419965576592083
D+51,51,4799,0.0933178897972668,0.0021834061135370675,0.5017712023338196,0.496145030214628,0.4757067951040367,5.123388581952118,-0.6610687022900763
D+52,52,4765,0.0972034281370863,0.0017064846416381396,0.5009443861490032,0.49653725078698846,0.48031844637825183,5.040515653775322,-0.6824427480916031
D+53,53,4737,0.10374161924205842,0.004166666666666652,0.504327633523327,0.4941946379565126,0.4886097249309314,5.114180478821363,-0.6819571865443426
D+54,54,4704,0.11035732661813588,0.008233985741925687,0.5112670068027211,0.4872448979591837,0.5007181805924792,5.841620626151013,-0.6904761904761905
D+55,55,4667,0.11728029401745944,0.013398294762484664,0.5153203342618384,0.4827512320548532,0.5113202621866376,5.795580110497237,-0.7049645390070922
D+56,56,4636,0.12410459194168393,0.014830575043876748,0.5213546160483176,0.47756686798964626,0.5190534785429124,5.445672191528545,-0.7123098201936376
D+57,57,4608,0.12982305449589568,0.018999679330306662,0.5238715277777778,0.4752604166666667,0.5228365325112293,4.926395939086294,-0.6791907514450868
D+58,58,4578,0.13648298812577717,0.023762469414643328,0.5288335517693316,0.4694189602446483,0.5306391959557993,5.16751269035533,-0.699421965317919
D+59,59,4543,0.14327126574030094,0.024116657319125157,0.5309267004182259,0.4670922298040942,0.5358466041933488,5.114180478821363,-0.6647398843930636
D+60,60,4511,0.1478570478502381,0.025495750708215192,0.5318111283529151,0.4659720682775438,0.5374062279485666,5.0497237569060776,-0.6799999999999999
